date,cardano
2019-09-13,2.0
2019-09-14,2.0
2019-09-15,1.0
2019-09-16,2.0
2019-09-17,3.0
2019-09-18,3.0
2019-09-19,3.0
2019-09-20,2.0
2019-09-21,3.0
2019-09-22,2.0
2019-09-23,3.0
2019-09-24,2.0
2019-09-25,3.0
2019-09-26,2.0
2019-09-27,2.0
2019-09-28,2.0
2019-09-29,2.0
2019-09-30,3.0
2019-10-01,2.0
2019-10-02,2.0
2019-10-03,3.0
2019-10-04,2.0
2019-10-05,1.0
2019-10-06,2.0
2019-10-07,3.0
2019-10-08,3.0
2019-10-09,3.0
2019-10-10,3.0
2019-10-11,2.0
2019-10-12,2.0
2019-10-13,2.0
2019-10-14,2.0
2019-10-15,2.0
2019-10-16,2.0
2019-10-17,2.0
2019-10-18,2.0
2019-10-19,1.0
2019-10-20,3.0
2019-10-21,2.0
2019-10-22,2.0
2019-10-23,2.0
2019-10-24,2.0
2019-10-25,2.0
2019-10-26,2.0
2019-10-27,2.0
2019-10-28,2.0
2019-10-29,3.0
2019-10-30,3.0
2019-10-31,2.0
2019-11-01,1.0
2019-11-02,2.0
2019-11-03,2.0
2019-11-04,3.0
2019-11-05,3.0
2019-11-06,1.0
2019-11-07,2.0
2019-11-08,2.0
2019-11-09,2.0
2019-11-10,1.0
2019-11-11,3.0
2019-11-12,3.0
2019-11-13,2.0
2019-11-14,2.0
2019-11-15,2.0
2019-11-16,3.0
2019-11-17,2.0
2019-11-18,2.0
2019-11-19,3.0
2019-11-20,2.0
2019-11-21,2.0
2019-11-22,2.0
2019-11-23,1.0
2019-11-24,2.0
2019-11-25,3.0
2019-11-26,4.0
2019-11-27,2.0
2019-11-28,3.0
2019-11-29,4.0
2019-11-30,2.0
2019-12-01,2.0
2019-12-02,3.0
2019-12-03,2.0
2019-12-04,3.0
2019-12-05,2.0
2019-12-06,3.0
2019-12-07,2.0
2019-12-08,2.0
2019-12-09,3.0
2019-12-10,2.0
2019-12-11,2.0
2019-12-12,3.0
2019-12-13,3.0
2019-12-14,2.0
2019-12-15,2.0
2019-12-16,3.0
2019-12-17,2.0
2019-12-18,3.0
2019-12-19,2.0
2019-12-20,2.0
2019-12-21,1.0
2019-12-22,1.0
2019-12-23,2.0
2019-12-24,1.0
2019-12-25,2.0
2019-12-26,2.0
2019-12-27,3.0
2019-12-28,2.0
2019-12-29,2.0
2019-12-30,2.0
2019-12-31,1.0
2020-01-01,2.0
2020-01-02,2.0
2020-01-03,2.0
2020-01-04,1.0
2020-01-05,2.0
2020-01-06,2.0
2020-01-07,2.0
2020-01-08,3.0
2020-01-09,3.0
2020-01-10,2.0
2020-01-11,3.0
2020-01-12,2.0
2020-01-13,2.0
2020-01-14,4.0
2020-01-15,2.0
2020-01-16,2.0
2020-01-17,2.0
2020-01-18,2.0
2020-01-19,3.0
2020-01-20,2.0
2020-01-21,3.0
2020-01-22,2.0
2020-01-23,3.0
2020-01-24,2.0
2020-01-25,2.0
2020-01-26,2.0
2020-01-27,2.0
2020-01-28,6.0
2020-01-29,4.0
2020-01-30,3.0
2020-01-31,3.0
2020-02-01,3.0
2020-02-02,3.0
2020-02-03,3.0
2020-02-04,4.0
2020-02-05,3.0
2020-02-06,4.0
2020-02-07,3.0
2020-02-08,2.0
2020-02-09,2.0
2020-02-10,3.0
2020-02-11,2.0
2020-02-12,4.0
2020-02-13,3.0
2020-02-14,3.0
2020-02-15,2.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-18,2.0
2020-02-19,2.0
2020-02-20,3.0
2020-02-21,2.0
2020-02-22,2.0
2020-02-23,3.0
2020-02-24,2.0
2020-02-25,2.0
2020-02-26,3.0
2020-02-27,3.0
2020-02-28,2.0
2020-02-29,3.0
2020-03-01,2.0
2020-03-02,3.0
2020-03-03,3.0
2020-03-04,3.0
2020-03-05,2.0
2020-03-06,2.0
2020-03-07,1.0
2020-03-08,3.0
2020-03-09,2.0
2020-03-10,2.0
2020-03-11,3.0
2020-03-12,2.0
2020-03-13,3.0
2020-03-14,2.0
2020-03-15,2.0
2020-03-16,2.0
2020-03-17,2.0
2020-03-18,2.0
2020-03-19,3.0
2020-03-20,2.0
2020-03-21,3.0
2020-03-22,2.0
2020-03-23,2.0
2020-03-24,2.0
2020-03-25,3.0
2020-03-26,2.0
2020-03-27,2.0
2020-03-28,2.0
2020-03-29,1.0
2020-03-30,2.0
2020-03-31,3.0
2020-04-01,3.0
2020-04-02,3.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,2.0
2020-04-08,2.0
2020-04-09,2.0
2020-04-10,2.0
2020-04-11,2.0
2020-04-12,2.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,2.0
2020-04-16,2.0
2020-04-17,2.0
2020-04-18,2.0
2020-04-19,2.0
2020-04-20,2.0
2020-04-21,1.0
2020-04-22,3.0
2020-04-23,3.0
2020-04-24,3.0
2020-04-25,2.0
2020-04-26,4.0
2020-04-27,4.0
2020-04-28,3.0
2020-04-29,4.0
2020-04-30,4.0
2020-05-01,2.0
2020-05-02,3.0
2020-05-03,2.0
2020-05-04,3.0
2020-05-05,2.0
2020-05-06,3.0
2020-05-07,3.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,3.0
2020-05-13,3.0
2020-05-14,3.0
2020-05-15,2.0
2020-05-16,2.0
2020-05-17,2.0
2020-05-18,3.0
2020-05-19,3.0
2020-05-20,3.0
2020-05-21,3.0
2020-05-22,2.0
2020-05-23,2.0
2020-05-24,2.0
2020-05-25,3.0
2020-05-26,2.0
2020-05-27,2.0
2020-05-28,3.0
2020-05-29,4.0
2020-05-30,7.0
2020-05-31,8.0
2020-06-01,4.0
2020-06-02,4.0
2020-06-03,4.0
2020-06-04,5.0
2020-06-05,5.0
2020-06-06,4.0
2020-06-07,3.0
2020-06-08,4.0
2020-06-09,4.0
2020-06-10,3.0
2020-06-11,4.0
2020-06-12,3.0
2020-06-13,2.0
2020-06-14,3.0
2020-06-15,3.0
2020-06-16,4.0
2020-06-17,4.0
2020-06-18,5.0
2020-06-19,3.0
2020-06-20,2.0
2020-06-21,2.0
2020-06-22,3.0
2020-06-23,2.0
2020-06-24,3.0
2020-06-25,3.0
2020-06-26,2.0
2020-06-27,2.0
2020-06-28,4.0
2020-06-29,3.0
2020-06-30,3.0
2020-07-01,7.0
2020-07-02,7.0
2020-07-03,6.0
2020-07-04,6.0
2020-07-05,5.0
2020-07-06,5.0
2020-07-07,7.0
2020-07-08,11.0
2020-07-09,6.0
2020-07-10,5.0
2020-07-11,6.0
2020-07-12,4.0
2020-07-13,6.0
2020-07-14,5.0
2020-07-15,5.0
2020-07-16,3.0
2020-07-17,3.0
2020-07-18,4.0
2020-07-19,3.0
2020-07-20,5.0
2020-07-21,4.0
2020-07-22,3.0
2020-07-23,3.0
2020-07-24,4.0
2020-07-25,6.0
2020-07-26,9.0
2020-07-27,7.0
2020-07-28,7.0
2020-07-29,9.0
2020-07-30,9.0
2020-07-31,6.0
2020-08-01,6.0
2020-08-02,4.0
2020-08-03,4.0
2020-08-04,6.0
2020-08-05,4.0
2020-08-06,5.0
2020-08-07,4.0
2020-08-08,5.0
2020-08-09,6.0
2020-08-10,4.0
2020-08-11,4.0
2020-08-12,4.0
2020-08-13,3.0
2020-08-14,4.0
2020-08-15,3.0
2020-08-16,4.0
2020-08-17,3.0
2020-08-18,3.0
2020-08-19,3.0
2020-08-20,4.0
2020-08-21,3.0
2020-08-22,3.0
2020-08-23,2.0
2020-08-24,3.0
2020-08-25,4.0
2020-08-26,3.0
2020-08-27,3.0
2020-08-28,3.0
2020-08-29,2.0
2020-08-30,4.0
2020-08-31,4.0
2020-09-01,3.0
2020-09-02,3.0
2020-09-03,3.0
2020-09-04,3.0
2020-09-05,3.0
2020-09-06,2.0
2020-09-07,3.0
2020-09-08,4.0
2020-09-09,2.0
2020-09-10,3.0
2020-09-11,3.0
2020-09-12,2.0
2020-09-13,2.0
2020-09-14,3.0
2020-09-15,3.0
2020-09-16,2.0
2020-09-17,3.0
2020-09-18,3.0
2020-09-19,3.0
2020-09-20,3.0
2020-09-21,3.0
2020-09-22,4.0
2020-09-23,3.0
2020-09-24,3.0
2020-09-25,4.0
2020-09-26,4.0
2020-09-27,2.0
2020-09-28,3.0
2020-09-29,3.0
2020-09-30,2.0
2020-10-01,2.0
2020-10-02,3.0
2020-10-03,2.0
2020-10-04,3.0
2020-10-05,3.0
2020-10-06,2.0
2020-10-07,2.0
2020-10-08,2.0
2020-10-09,3.0
2020-10-10,3.0
2020-10-11,3.0
2020-10-12,3.0
2020-10-13,3.0
2020-10-14,3.0
2020-10-15,2.0
2020-10-16,3.0
2020-10-17,2.0
2020-10-18,2.0
2020-10-19,3.0
2020-10-20,4.0
2020-10-21,3.0
2020-10-22,3.0
2020-10-23,3.0
2020-10-24,2.0
2020-10-25,2.0
2020-10-26,4.0
2020-10-27,3.0
2020-10-28,2.0
2020-10-29,3.0
2020-10-30,3.0
2020-10-31,2.0
2020-11-01,3.0
2020-11-02,3.0
2020-11-03,2.0
2020-11-04,1.0
2020-11-05,3.0
2020-11-06,3.0
2020-11-07,2.0
2020-11-08,2.0
2020-11-09,3.0
2020-11-10,3.0
2020-11-11,3.0
2020-11-12,2.0
2020-11-13,3.0
2020-11-14,2.0
2020-11-15,2.0
2020-11-16,3.0
2020-11-17,3.0
2020-11-18,3.0
2020-11-19,4.0
2020-11-20,3.0
2020-11-21,6.0
2020-11-22,6.0
2020-11-23,6.0
2020-11-24,7.0
2020-11-25,4.0
2020-11-26,4.0
2020-11-27,3.0
2020-11-28,4.0
2020-11-29,5.0
2020-11-30,5.0
2020-12-01,5.0
2020-12-02,3.0
2020-12-03,4.0
2020-12-04,4.0
2020-12-05,3.0
2020-12-06,2.0
2020-12-07,3.0
2020-12-08,3.0
2020-12-09,4.0
2020-12-10,4.0
2020-12-11,3.0
2020-12-12,3.0
2020-12-13,4.0
2020-12-14,4.0
2020-12-15,3.0
2020-12-16,4.0
2020-12-17,5.0
2020-12-18,4.0
2020-12-19,4.0
2020-12-20,5.0
2020-12-21,4.0
2020-12-22,3.0
2020-12-23,3.0
2020-12-24,3.0
2020-12-25,3.0
2020-12-26,5.0
2020-12-27,5.0
2020-12-28,5.0
2020-12-29,7.0
2020-12-30,7.0
2020-12-31,6.0
2021-01-01,5.0
2021-01-02,6.0
2021-01-03,7.0
2021-01-04,11.0
2021-01-05,14.0
2021-01-06,18.0
2021-01-07,17.0
2021-01-08,14.0
2021-01-09,14.0
2021-01-10,14.0
2021-01-11,13.0
2021-01-12,10.0
2021-01-13,10.0
2021-01-14,11.0
2021-01-15,10.0
2021-01-16,12.0
2021-01-17,18.0
2021-01-18,11.0
2021-01-19,14.0
2021-01-20,11.0
2021-01-21,8.0
2021-01-22,9.0
2021-01-23,9.0
2021-01-24,11.0
2021-01-25,8.0
2021-01-26,10.0
2021-01-27,9.0
2021-01-28,7.0
2021-01-29,9.0
2021-01-30,9.0
2021-01-31,12.0
2021-02-01,14.0
2021-02-02,20.0
2021-02-03,17.0
2021-02-04,17.0
2021-02-05,30.0
2021-02-06,32.0
2021-02-07,38.0
2021-02-08,35.0
2021-02-09,31.0
2021-02-10,48.0
2021-02-11,51.0
2021-02-12,36.0
2021-02-13,39.0
2021-02-14,34.0
2021-02-15,30.0
2021-02-16,29.0
2021-02-17,29.0
2021-02-18,31.0
2021-02-19,32.0
2021-02-20,61.0
2021-02-21,46.0
2021-02-22,43.0
2021-02-23,39.0
2021-02-24,42.0
2021-02-25,42.0
2021-02-26,66.0
2021-02-27,100.0
2021-02-28,64.0
2021-03-01,71.0
2021-03-02,58.0
2021-03-03,42.0
2021-03-04,41.0
2021-03-05,41.0
2021-03-06,31.0
2021-03-07,32.0
2021-03-08,31.0
2021-03-09,30.0
2021-03-10,28.0
2021-03-11,28.0
2021-03-12,32.0
2021-03-13,32.0
2021-03-14,33.0
2021-03-15,33.0
2021-03-16,48.0
2021-03-17,63.0
2021-03-18,78.0
2021-03-19,49.0
2021-03-20,44.0
2021-03-21,39.0
2021-03-22,36.0
2021-03-23,31.0
2021-03-24,29.0
2021-03-25,30.0
2021-03-26,33.0
2021-03-27,26.0
2021-03-28,28.0
2021-03-29,30.0
2021-03-30,27.0
2021-03-31,27.0
2021-04-01,27.0
2021-04-02,31.0
2021-04-03,30.0
2021-04-04,28.0
2021-04-05,29.0
2021-04-06,36.0
2021-04-07,28.0
2021-04-08,28.0
2021-04-09,25.0
2021-04-10,29.0
2021-04-11,35.0
2021-04-12,34.0
